gene,level
ZNF630,83
KDM5B,84
TRIM32,84
PER2,84
MPHOSPH8,84
ETS2,84
PHOX2B,84
POU4F1,84
PITX1,84
ARID5B,84
EAF1,84
ZNF335,84
POU3F1,84
NRBF2,84
GMEB2,84
NMI,84
SSX4,84
CIC,84
THAP1,84
RHOXF2,84
ZNF224,84
AP1AR,84
AP1M1,84
ART5,84
ATP6V0E1,84
C12orf49,84
C14orf180,84
C2CD2,84
CCDC102A,84
CCDC3,84
CTSF,84
GLIPR2,84
GPR155,84
HECA,84
KIF16B,84
LIPJ,84
LIPM,84
MAMDC2,84
MAP4K3,84
MAP9,84
MCOLN2,84
MCTP2,84
MT1B,84
MT1F,84
MT1H,84
MT1HL1,84
MT1M,84
MT4,84
MTMR10,84
OR52B6,84
OR52N2,84
PRAC2,84
PRSS2,84
QRICH2,84
RHBDL3,84
RUFY3,84
SELENOH,84
SERPINB9,84
SLC30A1,84
SLC30A4,84
SLC30A5,84
SLC30A7,84
SOBP,84
SPOCK3,84
SSX5,84
SYT3,84
SYT7,84
TEKT3,84
TTLL6,84
VSIG10L,84
ZNF75A,84
hCG_2014768,84
HDAC7,85
SHPRH,85
HAND2,85
TRIM22,85
SATB1,85
ZIC3,85
AEBP1,85
TRIM16,85
ELF5,85
GZF1,85
PLAGL2,85
ABHD16B,85
ADGRA1,85
ANKLE2,85
ANO3,85
ASRGL1,85
ATCAY,85
B4GALNT3,85
C14orf28,85
C7orf25,85
CATSPER3,85
CCDC174,85
CCZ1B,85
CEP135,85
CGB7,85
CHRNA3,85
CPNE6,85
EHD3,85
FKRP,85
GALNT18,85
HHLA3,85
IQCF5,85
KHDC1L,85
KRTAP19-5,85
LIME1,85
LYPD1,85
MAGEA9B,85
MAP11,85
MSANTD1,85
ODF4,85
OR4X2,85
P2RX3,85
P3R3URF,85
PAPLN,85
PGAP2,85
POMGNT1,85
PRAMEF19,85
RNF170,85
RTKN2,85
SNX21,85
SOGA3,85
TMEM25,85
WASHC2A,85
WFDC3,85
ZNF100,85
ZNF117,85
ZNF141,85
ZNF280D-2,85
JARID2,86
NR4A2,86
GATAD2B,86
SPIB,86
GATA5,86
IKZF2,86
NFATC4,86
TBX4,86
BAZ2B,86
ZBTB6,86
ACOT11,86
ACOT12,86
APOL3,86
B3GALT6,86
BTN3A3,86
CHST14,86
CST11,86
CSTL1,86
DPT,86
EFCAB2,86
FBXO27,86
GIMAP2,86
GLRX2,86
MMP21,86
MRC2,86
MXRA8,86
NATD1,86
NUDCD3,86
OR8H3,86
PKD1L1,86
SLC35F3,86
STX3,86
THEGL,86
TP53TG5,86
TRIM16L,86
TRIM49,86
ZNF480,86
SNW1,87
NR0B2,87
SMARCD1,87
RORC,87
SMYD1,87
DLX2,87
ZBTB7A,87
HMG20B,87
POU2AF1,87
SIM1,87
CRTC1,87
KLF15,87
MAFF,87
NRIP3,87
P2RY10,87
RBBP8NL,87
SLC35B4,87
TMEM161A,87
TMEM185B,87
SNRPB,88
TBPL1,88
SATB2,88
PPARGC1B,88
BRD8,88
TBC1D22A,88
TFDP2,88
BTG2,88
SIX6,88
ASCC2,88
CITED2,88
ANKS1A,88
TLE2,88
MYCBP,88
FOXD1,88
HIVEP1,88
HOMEZ,88
ZNF205,88
BIN3,88
C11orf87,88
CCDC154,88
CFAP61,88
DHRS7C,88
FCRL2,88
GPR174,88
KRT38,88
MISP3,88
MRAP2,88
OSER1,88
PHETA2,88
PIGO,88
SIAE,88
SLC35A3,88
TPPP2,88
TSPYL4,88
VWA2,88
MEN1,89
DCP1A,89
MED21,89
NR2F2,89
HAX1,89
ING3,89
NEUROD6,89
BRDT,89
HOXA2,89
MIS18BP1,89
POLR3H,89
FOXE1,89
HES1,89
ZBED1,89
DRAP1,89
DBP,89
ALX1,89
CITED4,89
ZNF426,89
RAX,89
AGPAT3,89
C14orf39,89
C1orf158,89
C2orf50,89
C6orf163,89
CEACAM20,89
CMTM8,89
COLGALT1,89
CSNKA2IP,89
DEPP1,89
FAM180A,89
FAM219B,89
GNPAT,89
HDX,89
JHY,89
KCNK5,89
KLHL35,89
LRRC9,89
MINDY2,89
MROH2A,89
ODF3B,89
OR13A1,89
OR1F1,89
OR5P3,89
PKD2L2,89
PTCHD4,89
RAB15,89
RAB19,89
RABGAP1L,89
RABL2A,89
RINL,89
SLC25A30,89
SLC38A10,89
SMIM33,89
SPATA16,89
SUSD5,89
SUSD6,89
TBC1D19,89
TBC1D20,89
TBC1D3B,89
TBCK,89
TCHHL1,89
TMEM132B,89
TMEM60,89
TTPAL,89
WDR86,89
WFDC10B,89
ZNF25,89
ZNF835,89
ZNF593,90
MAFB,90
CNOT2,90
ID1,90
KLF1,90
MXI1,90
GTF3C5,90
PBX3,90
URI1,90
ZNF592,90
RBPJL,90
RAI14,90
NEUROD2,90
SPDEF,90
TEF,90
SOX7,90
ZFPL1,90
SNAPC2,90
HMGN3,90
ZHX1,90
ZNF580,90
AGA,90
AKR1C8P,90
AMIGO1,90
ANKRD13D,90
AP1S2,90
ARHGEF19,90
ARPC4-TTLL3,90
BCL2L10,90
C14orf93,90
C4BPB,90
CCDC150,90
CCDC18,90
CEP112,90
CRACR2B,90
CYB561A3,90
FAM174C,90
FEZ1,90
GABRD,90
GPR88,90
HAUS8,90
HCN1,90
HPCA,90
HTR3A,90
IPP,90
KLHDC7A,90
LRRC73,90
MBLAC2,90
MICAL3,90
NBDY,90
NUDT19,90
NUDT2,90
NUDT4B,90
NUDT7,90
NUDT8,90
NXPH1,90
OPA3,90
OR5AP2,90
OR5C1,90
PMFBP1,90
PNPLA4,90
PRR33,90
RASSF10,90
SAYSD1,90
SH3TC1,90
SLC25A10,90
SLC25A10-2,90
SLC6A15,90
SPPL3,90
SSC5D,90
STK31,90
SYT13,90
TDRD15,90
TDRD6,90
TMEM200B,90
TMEM44,90
TMPRSS11D,90
TOGARAM1,90
TPCN2,90
TRAPPC2B,90
TSGA10IP,90
TTLL1,90
TTLL8,90
WFDC12,90
ZBED2,90
ZBED6CL,90
MCM3,91
CNBP,91
MEF2A,91
SMAD6,91
PRDM16,91
LHX3,91
HOXA7,91
NR2E1,91
